,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Structure,Mean
0,0.0,0.0,0.0,[1],0.007240189
1,1.0,1.0,1.0,"[10, 1]",0.06906386
2,2.0,2.0,2.0,"[20, 1]",0.001841187
3,3.0,3.0,3.0,"[30, 1]",0.005078877
4,4.0,4.0,4.0,"[20, 20, 1]",0.000245038
5,5.0,5.0,5.0,"[20, 10, 1]",0.066877244
6,6.0,6.0,6.0,"[30, 15, 1]",0.0002737
7,7.0,7.0,7.0,"[40, 30, 20, 1]",7.53e-08
8,8.0,8.0,8.0,"[40, 20, 10, 1]",1.09e-07
9,9.0,9.0,9.0,"[50, 25, 10, 1]",0.001860932
10,10.0,10.0,10.0,"[40, 50, 30, 10, 1]",4.89e-10
11,11.0,11.0,11.0,"[50, 40, 20, 10, 1]",0.000389409
12,12.0,12.0,12.0,"[60, 40, 20, 10, 1]",6.9e-10
13,13.0,13.0,13.0,"[40, 50, 40, 20, 10, 1]",5.72e-12
14,14.0,14.0,14.0,"[50, 60, 40, 20, 10, 1]",2.21e-10
15,15.0,15.0,15.0,"[60, 80, 40, 20, 10, 1]",5.7e-11
16,16.0,16.0,16.0,[1],0.0250700236358474
17,17.0,17.0,,[1],0.0082394993850259
18,18.0,,,[1],0.0062158339322579
19,,,,[1],0.02120484455650101
