,length,accuracy
0,5,0.15451838314267555
1,6,0.13502595340708412
2,7,0.12549727181227494
3,8,0.1046574374450665
4,9,0.10903773306663006
5,10,0.07424117790329537
6,11,0.08211931274010553
7,12,0.18941675391262847
8,13,0.0941125335636892
9,14,0.07390890405407229
10,15,0.06307540977915328
11,16,0.14324744544538967
12,17,0.11736661657073551
13,18,0.03697708786899165
14,19,0.07322380800530323
15,20,0.06906385992206887
16,21,0.07663166514994756
17,22,0.10227906809060039
18,23,0.0894555463471163
19,24,0.025397401939190097
20,25,0.024099599058136703
21,26,0.0104804968675636
22,27,0.045810222464240914
23,28,0.07835487493213428
24,29,0.05281900063672054
