HDI,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043486602,0.044316297,0.045145992,0.045975687,0.046805382,0.047635077,0.049099598,0.050564119,0.052028639,0.05349316,0.054957681,0.056120212,0.057282744,0.058445276,0.059607808,0.06077034,0.063521281,0.066272222,0.069023163,0.071774104,0.074525045,0.076056941,0.077588838,0.079120735,0.080652631,0.082184528,0.08416722,0.086149911,0.088132602,0.090115294,0.092097985,0.09460661,0.097115235,0.09962386,0.102132485,0.104641109,0.106412324,0.108183538,0.109954753,0.111725967,0.113497181,0.11469857,0.115899959,0.117101349,0.118302738,0.119504127,0.119066963,0.118629799,0.118192636,0.117755472,0.117318309,0.124804681,0.132291054,0.139777427,0.1472638,0.154750173,0.161636407,0.168522641,0.175408874,0.182295108,0.189181342,0.190233531,0.19128572,0.19233791,0.193390099,0.194442289,0.190849023,0.187255757,0.183662491,0.180069225,0.176475959
Albania,0.025453817,0.025532962,0.025612108,0.025691253,0.025770399,0.025849544,0.02592869,0.026007835,0.026086981,0.026166126,0.026245271,0.026470487,0.026695703,0.026920918,0.027146134,0.02737135,0.027596565,0.027821781,0.028046996,0.028272212,0.028497428,0.028753512,0.029009596,0.029265681,0.029521765,0.02977785,0.030033934,0.030290019,0.030546103,0.030802188,0.031058272,0.031991682,0.032925092,0.033858502,0.034791912,0.035725322,0.036658732,0.037592142,0.038525553,0.039458963,0.040392373,0.041325783,0.042259193,0.043192603,0.044771168,0.046349732,0.047928297,0.049506862,0.051085426,0.052663991,0.054242556,0.055821121,0.057399685,0.05897825,0.060556815,0.06213538,0.064704128,0.067272876,0.069841625,0.072410373,0.074405057,0.076399741,0.078394425,0.080389109,0.082778441,0.085167773,0.087557105,0.089946437,0.092335769,0.098776621,0.105217473,0.111658325,0.118099176,0.124540028,0.13098088,0.137421732,0.143862583,0.150303435,0.156744287,0.163185139,0.16962599,0.172843183,0.176060376,0.179277569,0.182494761,0.185711954,0.189125749,0.192539543,0.195953338,0.199367132,0.202780927,0.206877001,0.210973074,0.215069148,0.219165222,0.223261295,0.2304802,0.237699104,0.244918009,0.252136913,0.259355818,0.267001798,0.274647778,0.282293759,0.289939739,0.297585719,0.304150366,0.310715012,0.317279659,0.323844306,0.330408952,0.339263567,0.348118181,0.356972795,0.36582741,0.374682024,0.380342992,0.38600396,0.391664928,0.397325896,0.402986864,0.402379653,0.401772442,0.401165232,0.400558021,0.399950811,0.410310432,0.420670053,0.431029675,0.441389296,0.451748917,0.4590245,0.466300083,0.473575665,0.480851248,0.488126831,0.493422809,0.498718786,0.504014764,0.509310742,0.51460672,0.515162204,0.515717689,0.516273173,0.516828658,0.517384142,0.525419371,0.5334546,0.541489829,0.549525058,0.557560287
Algeria,0.039803781,0.039943908,0.040084035,0.040224162,0.040364289,0.040504416,0.040644543,0.04078467,0.040924797,0.041064924,0.041205051,0.041455724,0.041706398,0.041957071,0.042207745,0.042458419,0.042709092,0.042959766,0.04321044,0.043461113,0.043711787,0.044278346,0.044844906,0.045411465,0.045978024,0.046544583,0.047111143,0.047677702,0.048244261,0.04881082,0.04937738,0.050182891,0.050988403,0.051793915,0.052599426,0.053404938,0.054210449,0.055015961,0.055821472,0.056626984,0.057432496,0.058238007,0.059043519,0.05984903,0.060370971,0.060892911,0.061414851,0.061936791,0.062458731,0.062980671,0.063502611,0.064024552,0.064546492,0.065068432,0.065590372,0.066112312,0.067595809,0.069079306,0.070562803,0.0720463,0.072672762,0.073299225,0.073925687,0.07455215,0.075823505,0.07709486,0.078366215,0.07963757,0.080908925,0.083030534,0.085152143,0.087273752,0.089395361,0.09151697,0.093638578,0.095760187,0.097881796,0.100003405,0.102125014,0.104246623,0.106368232,0.1079582,0.109548168,0.111138136,0.112728103,0.114318071,0.116743944,0.119169817,0.121595689,0.124021562,0.126447435,0.128249952,0.13005247,0.131854987,0.133657505,0.135460022,0.140121925,0.144783828,0.14944573,0.154107633,0.158769536,0.164559772,0.170350008,0.176140245,0.181930481,0.187720717,0.195071914,0.202423111,0.209774308,0.217125505,0.224476702,0.233528218,0.242579734,0.251631251,0.260682767,0.269734283,0.275104025,0.280473766,0.285843508,0.291213249,0.296582991,0.30029652,0.304010049,0.307723578,0.311437108,0.315150637,0.321072665,0.326994694,0.332916723,0.338838751,0.34476078,0.346206235,0.34765169,0.349097145,0.3505426,0.351988055,0.360075106,0.368162157,0.376249207,0.384336258,0.392423309,0.39812459,0.403825871,0.409527152,0.415228433,0.420929714,0.419979102,0.41902849,0.418077878,0.417127266,0.416176654
Angola,0.023532684,0.023528663,0.023524641,0.023520619,0.023516598,0.023512576,0.023508554,0.023504533,0.023500511,0.023496489,0.023492468,0.023510785,0.023529101,0.023547418,0.023565735,0.023584052,0.023602369,0.023620685,0.023639002,0.023657319,0.023675636,0.023784329,0.023893022,0.024001715,0.024110409,0.024219102,0.024327795,0.024436488,0.024545181,0.024653874,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024762567,0.024704708,0.024646848,0.024588988,0.024531128,0.025125388,0.025719648,0.026313908,0.026908167,0.027502427,0.028043892,0.028585356,0.02912682,0.029668285,0.030209749,0.030751214,0.031292678,0.031834142,0.032375607,0.032917071,0.033458536,0.034,0.034538495,0.035076991,0.035615486,0.036153981,0.036692477,0.037518987,0.038345498,0.039172008,0.039998519,0.040825029,0.043131329,0.045437629,0.047743928,0.050050228,0.052356528,0.054673859,0.056991189,0.05930852,0.06162585,0.063943181,0.067142568,0.070341955,0.073541341,0.076740728,0.079940115,0.082665805,0.085391496,0.088117186,0.090842877,0.093568568,0.095964624,0.09836068,0.100756737,0.103152793,0.10554885,0.108380371,0.111211893,0.114043415,0.116874937,0.119706459,0.121303979,0.122901499,0.124499019,0.126096539,0.127694059,0.129485945,0.131277832,0.133069718,0.134861605,0.136653491,0.145629294,0.154605097,0.163580899,0.172556702,0.181532505,0.191718802,0.201905099,0.212091397,0.222277694,0.232463991,0.236796506,0.24112902,0.245461534,0.249794048,0.254126562,0.255160754,0.256194946,0.257229138,0.25826333,0.259297522
Argentina,0.093960927,0.094662936,0.095364944,0.096066952,0.096768961,0.097470969,0.098172978,0.098874986,0.099576995,0.100279003,0.100981011,0.103115821,0.105250631,0.107385441,0.109520251,0.111655061,0.113789871,0.115924681,0.11805949,0.1201943,0.12232911,0.123785316,0.125241522,0.126697727,0.128153933,0.129610139,0.131066345,0.13252255,0.133978756,0.135434962,0.136891168,0.139460384,0.142029601,0.144598818,0.147168035,0.149737251,0.152306468,0.154875685,0.157444901,0.160014118,0.162583335,0.165152552,0.167721768,0.170290985,0.172865806,0.175440626,0.178015447,0.180590267,0.183165088,0.185739908,0.188314729,0.190889549,0.19346437,0.196039191,0.198614011,0.201188832,0.204899123,0.208609414,0.212319705,0.216029996,0.218690154,0.221350311,0.224010469,0.226670627,0.230180498,0.233690369,0.23720024,0.240710111,0.244219982,0.248870213,0.253520444,0.258170675,0.262820906,0.267471137,0.272121368,0.276771599,0.28142183,0.286072062,0.290722293,0.295372524,0.300022755,0.303274899,0.306527044,0.309779188,0.313031332,0.316283477,0.319431506,0.322579535,0.325727564,0.328875593,0.332023622,0.329635297,0.327246971,0.324858645,0.322470319,0.320081993,0.328951262,0.337820531,0.346689799,0.355559068,0.364428336,0.368298362,0.372168388,0.376038414,0.379908441,0.383778467,0.38728273,0.390786993,0.394291256,0.39779552,0.401299783,0.402241516,0.403183249,0.404124982,0.405066715,0.406008447,0.407155266,0.408302084,0.409448903,0.410595721,0.411742539,0.417087151,0.422431764,0.427776376,0.433120988,0.4384656,0.441204841,0.443944082,0.446683323,0.449422563,0.452161804,0.458573394,0.464984984,0.471396574,0.477808164,0.484219754,0.487837075,0.491454397,0.495071719,0.498689041,0.502306363,0.507740218,0.513174074,0.51860793,0.524041786,0.529475642,0.535002193,0.540528744,0.546055295,0.551581847,0.557108398
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0.450157215,0.45231443,0.454471645,0.45662886,0.458786076,0.459348676,0.459911277,0.460473877,0.461036478,0.461599079,0.45834279,0.455086502,0.451830213,0.448573925,0.445317636,0.449327486,0.453337335,0.457347185,0.461357034,0.465366884,0.471925839,0.478484794,0.48504375,0.491602705,0.49816166,0.503075862,0.507990063,0.512904264,0.517818465,0.522732667,0.529932821,0.537132975,0.544333129,0.551533283,0.558733437,0.555678508,0.552623579,0.54956865,0.546513721,0.543458792
Australia,0.18583099,0.189019103,0.192207216,0.19539533,0.198583443,0.201771556,0.204959669,0.208147782,0.211335895,0.214524008,0.217712121,0.220836265,0.223960408,0.227084551,0.230208694,0.233332838,0.236456981,0.239581124,0.242705268,0.245829411,0.248953554,0.252099635,0.255245715,0.258391795,0.261537875,0.264683956,0.267830036,0.270976116,0.274122196,0.277268277,0.280414357,0.283532019,0.28664968,0.289767342,0.292885004,0.296002665,0.299120327,0.302237989,0.30535565,0.308473312,0.311590974,0.314708635,0.317826297,0.320943959,0.324384907,0.327825856,0.331266804,0.334707753,0.338148702,0.34158965,0.345030599,0.348471547,0.351912496,0.355353444,0.358794393,0.362235341,0.364244209,0.366253077,0.368261944,0.370270812,0.374673099,0.379075387,0.383477674,0.387879962,0.390506474,0.393132986,0.395759498,0.398386011,0.401012523,0.404431955,0.407851388,0.41127082,0.414690252,0.418109685,0.421529117,0.424948549,0.428367982,0.431787414,0.435206846,0.438626279,0.442045711,0.445622936,0.449200161,0.452777386,0.456354611,0.459931836,0.463332314,0.466732791,0.470133269,0.473533746,0.476934224,0.478423767,0.479913309,0.481402852,0.482892394,0.484381937,0.488555615,0.492729293,0.49690297,0.501076648,0.505250326,0.514350049,0.523449772,0.532549495,0.541649218,0.550748941,0.559253778,0.567758614,0.57626345,0.584768286,0.593273123,0.599039747,0.604806371,0.610572996,0.61633962,0.622106244,0.630551058,0.638995872,0.647440686,0.655885499,0.664330313,0.670839487,0.677348661,0.683857836,0.69036701,0.696876184,0.703193151,0.709510118,0.715827085,0.722144052,0.728461019,0.73772424,0.74698746,0.756250681,0.765513901,0.774777121,0.779989697,0.785202273,0.790414849,0.795627424,0.80084,0.805749026,0.810658052,0.815567079,0.820476105,0.825385131,0.832237313,0.839089495,0.845941678,0.85279386,0.859646042
Austria,0.13871224,0.139425879,0.140139519,0.140853158,0.141566797,0.142280436,0.142994076,0.143707715,0.144421354,0.145134993,0.145848632,0.147640632,0.149432631,0.151224631,0.15301663,0.154808629,0.156600629,0.158392628,0.160184628,0.161976627,0.163768626,0.166797231,0.169825836,0.172854441,0.175883046,0.17891165,0.181940255,0.18496886,0.187997465,0.191026069,0.194054674,0.196220433,0.198386191,0.200551949,0.202717708,0.204883466,0.207049225,0.209214983,0.211380741,0.2135465,0.215712258,0.217878017,0.220043775,0.222209533,0.22484083,0.227472127,0.230103423,0.23273472,0.235366017,0.237997313,0.24062861,0.243259907,0.245891203,0.2485225,0.251153797,0.253785093,0.259654662,0.26552423,0.271393799,0.277263367,0.276756244,0.276249121,0.275741997,0.275234874,0.278815113,0.282395352,0.285975591,0.289555829,0.293136068,0.296421348,0.299706628,0.302991907,0.306277187,0.309562467,0.312847747,0.316133026,0.319418306,0.322703586,0.325988866,0.329274145,0.332559425,0.339777731,0.346996038,0.354214344,0.36143265,0.368650956,0.374017288,0.37938362,0.384749952,0.390116284,0.395482616,0.400967376,0.406452135,0.411936894,0.417421654,0.422906413,0.427496804,0.432087195,0.436677586,0.441267977,0.445858368,0.451815604,0.457772841,0.463730077,0.469687313,0.475644549,0.481916727,0.488188905,0.494461083,0.50073326,0.507005438,0.511785878,0.516566318,0.521346758,0.526127197,0.530907637,0.537966295,0.545024952,0.55208361,0.559142267,0.566200925,0.570796848,0.575392771,0.579988694,0.584584617,0.58918054,0.595864624,0.602548708,0.609232791,0.615916875,0.622600958,0.62734156,0.632082163,0.636822765,0.641563367,0.646303969,0.651458716,0.656613463,0.661768209,0.666922956,0.672077703,0.673442168,0.674806634,0.6761711,0.677535565,0.678900031,0.689090033,0.699280035,0.709470037,0.719660039,0.72985004
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387741304,0.393611326,0.399481348,0.40535137,0.411221392,0.417091414,0.416398267,0.41570512,0.415011972,0.414318825,0.413625678,0.40618597,0.398746262,0.391306554,0.383866846,0.376427138,0.381945024,0.38746291,0.392980796,0.398498682,0.404016568,0.412116573,0.420216578,0.428316584,0.436416589,0.444516595,0.453044735,0.461572875,0.470101016,0.478629156,0.487157296,0.492827398,0.498497499,0.504167601,0.509837702,0.515507804,0.504762192,0.49401658,0.483270968,0.472525356,0.461779744
Bahrain,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025198421,0.025328709,0.025458997,0.025589284,0.025719572,0.02584986,0.025980148,0.026110436,0.026240723,0.026371011,0.026501299,0.026631587,0.026761875,0.026892162,0.027328881,0.027765599,0.028202317,0.028639036,0.029075754,0.029512472,0.02994919,0.030385909,0.030822627,0.031259345,0.031696063,0.032132782,0.035888487,0.039644192,0.043399898,0.047155603,0.048148106,0.04914061,0.050133113,0.051125616,0.051935349,0.052745081,0.053554814,0.054364547,0.055174279,0.061102143,0.067030006,0.07295787,0.078885734,0.084813598,0.090741461,0.096669325,0.102597189,0.108525052,0.114452916,0.12038078,0.126308643,0.128339277,0.130369911,0.132400544,0.134431178,0.136461811,0.139579534,0.142697256,0.145814979,0.148932701,0.152050423,0.157427095,0.162803766,0.168180437,0.173557109,0.17893378,0.189716836,0.200499892,0.211282947,0.222066003,0.232849059,0.240116231,0.247383403,0.254650576,0.261917748,0.26918492,0.276169956,0.283154992,0.290140028,0.297125064,0.3041101,0.310128678,0.316147256,0.322165835,0.328184413,0.334202991,0.341494241,0.34878549,0.35607674,0.363367989,0.370659239,0.375238194,0.37981715,0.384396105,0.388975061,0.393554016,0.399199193,0.40484437,0.410489547,0.416134724,0.4217799,0.421751458,0.421723016,0.421694574,0.421666131,0.421637689,0.423763024,0.425888359,0.428013694,0.430139029,0.432264364,0.448321144,0.464377924,0.480434704,0.496491484,0.512548263,0.521051033,0.529553802,0.538056571,0.54655934,0.555062109
