Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00087803,0.000734243,0.000575055,0.000491267,0.001552262,0.001633868,0.0013792,0.00092524,0.000937262,0.001166588,0.000819402,0.001002505,0.000848353,0.000717902,0.001662771,0.00141918,0.001371008,0.001452778,0.001583681,0.001972758,0.002449483,0.002436964,0.002872982,0.002041219,0.003870138,0.003809771,0.003407756,0.002451653,0.003235172,0.002387659,0.003343742,0.002827191,0.001884692,0.001680116,0.003037193,0.002066128,
Africa Eastern and Southern,,,,,,,,,,,4.223712593,3.608902963,3.394820858,4.666109926,5.461947426,4.952515955,5.387625532,5.93012435,5.177873522,7.345444192,11.61489852,9.261656897,9.418103473,8.020335479,6.124977671,8.704305512,7.518211461,7.085322872,7.933765285,7.928799983,7.263345714,5.708788655,6.760360112,6.279678446,6.866790635,7.300457884,7.732086084,6.729457118,6.046712408,4.947956762,6.795001533,7.136247441,7.700903189,7.146072105,8.033462679,9.195832592,10.38589086,12.46611148,18.24505916,9.887743517,11.62869517,13.53736138,11.18800687,10.60027318,9.017722608,6.380926635,6.827903994,7.326760719,7.316066196,6.568280999,6.029217815,10.05479538,
Afghanistan,,,,,,,,,,,0.87755385,1.035584144,1.195196448,1.674168157,2.125319208,2.666730639,2.824876293,2.68324458,2.244871525,2.441382875,2.560411918,1.996982268,,,,,,,,,,,,,,,,,,,,,1.276148807,0.731312589,0.458919792,0.393192771,0.504174403,0.44950057,0.601665825,0.424658196,0.625332613,0.83638966,0.684675469,0.603571665,0.5427565,0.469916949,0.617409905,0.702981729,0.855264249,0.682287828,0.305978172,0.42852545,
Africa Western and Central,,,,,,,,,,,2.996079584,3.447047372,4.189444201,5.721612853,22.54539613,16.46285952,14.88709466,18.52126237,14.89427268,31.04188476,20.18851387,5.446899422,3.78331733,6.668881868,9.474136365,10.1381233,6.380336409,9.118853437,8.504216969,15.54565049,17.57814644,12.8311684,13.9884739,19.9151947,18.97952762,18.69995806,18.49152199,16.71680395,10.59727823,10.14916551,19.29078239,13.93197154,11.8369928,12.67847986,13.51762336,17.75341148,16.51744253,16.01537824,17.78937569,11.31033842,14.20593407,17.78183443,16.08733694,12.40646939,9.911609951,6.08576415,6.29244124,8.822865465,9.956106749,8.648744404,6.024323876,9.87754928,
Angola,,,,,,,,,,,,,,,,,,,,,21.09082781,11.73368782,5.524024293,12.29367252,15.06512463,14.86595044,7.383010909,16.10655031,15.30094216,22.71677829,29.10382706,17.96798031,28.47939824,36.66246848,43.63651301,44.21099663,41.36171668,39.45148916,24.26938077,40.80335432,59.14251036,44.21947659,32.88371598,28.40669695,33.77071701,42.76007427,40.7534429,45.88117608,52.56077296,30.31146614,38.16231011,39.0226785,34.73100763,29.40004523,22.12424763,13.30567489,20.88512027,25.95032991,32.0454056,28.89785906,20.24766539,29.96743484,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,8.862727738,8.712814068,4.697096816,5.69948776,8.223122577,8.847487681,8.224029899,9.885753643,11.72883877,3.378501797,1.83861311,1.411994517,1.361529489,1.31616086,0.373020814,0.582819936,1.205806641,0.774294478,0.765808882,0.765831615,0.868821576,1.101150557,1.378902395,2.174050081,1.775404364,1.047503416,1.528168143,2.898498354,3.231452425,3.327990844,3.416900434,1.734861868,1.058481042,1.346042379,1.711116281,1.634973785,0.775369617,1.442601467,
Andorra,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arab World,,,,,,,,,,,13.39713015,13.34376664,16.03178208,20.93747551,48.02184952,38.95891961,38.88465274,37.16295849,33.52500877,58.30165256,50.96803749,39.05406049,25.95827871,25.35303323,25.00743187,21.88871501,14.05137693,17.06514118,17.06556187,23.000055,23.05507999,18.47340474,20.17108259,19.72872552,18.8179985,18.50681758,21.21303296,18.81227307,13.14897918,16.92585319,26.0624246,21.39903228,20.59596895,22.94810077,27.02965321,32.35741546,33.03105091,30.7446703,34.74512202,22.58321329,25.77043606,34.75414665,34.18220801,31.56748156,28.15671336,16.90382788,14.21302092,17.71349795,23.09667202,20.36024518,13.55017965,20.24534189,
United Arab Emirates,,,,,,,,,,,,,,,,37.58149556,37.02634437,31.15046187,31.95051161,56.67173525,42.32741065,33.40866984,23.01154048,24.27984422,26.43536976,24.66529302,18.36663638,24.30872586,21.7546746,30.0841004,36.60270007,24.93551186,24.75940602,22.15052226,18.26348022,17.87533681,20.71956215,18.6806268,12.52788253,14.85476356,22.38441772,17.59639666,16.23762837,19.20611287,22.221017,25.33437477,27.2052072,24.93720636,27.71491227,19.71346172,23.77687049,29.77895683,28.21446697,27.3813114,23.97392577,14.04680896,11.80551958,14.32784244,18.18668249,16.895899,11.97223352,17.63409585,
Argentina,,,,,,,,,,,0.301180697,0.436369228,0.502356037,0.576658816,1.851347347,2.417618399,2.671108329,2.159764921,2.416430448,5.427270461,6.310932924,5.15070532,2.917155105,3.273530163,4.11858428,3.36451641,1.249136134,1.806467157,1.485178815,3.543754571,2.541333792,1.112169537,1.096887631,1.095340384,1.037616255,1.298073436,1.595984102,1.424732525,0.821860212,1.400564103,2.364145264,1.918540854,5.630902393,4.544052379,4.295220158,5.187273828,5.775609442,4.838615695,4.949379949,3.098346954,3.257095194,3.886504042,3.625647909,3.155587305,2.965616195,1.116774935,0.929681521,1.020566168,2.037125135,2.166688387,1.429624325,2.65308889,
