LDI,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.285,0.286,0.284,0.282,0.324,0.394,0.400,0.224,0.224,0.218,0.173,0.340,0.398,0.086,0.314,0.048,0.669,0.614,0.635,0.660,0.644,0.604,0.612,0.659
"Bahamas, The",,,,,,,,,,0.242,0.358,0.377,0.417,0.404,0.407,0.381,0.424,0.458,0.498,0.567,0.642,0.672,0.694,0.706
Barbados,,,,,,,,,,0.207,0.366,0.466,0.477,0.618,0.624,0.636,0.634,0.636,0.655,0.661,0.658,0.676,0.669,0.683
Belize,,,,,,,,,,0.242,0.358,0.377,0.417,0.404,0.407,0.381,0.424,0.458,0.498,0.567,0.642,0.672,0.694,0.706
Bolivia,0.052,0.091,0.102,0.081,0.083,0.083,0.086,0.081,0.065,0.075,0.098,0.116,0.042,0.028,0.017,0.031,0.332,0.443,0.504,0.536,0.548,0.415,0.387,0.231
Brazil,0.131,0.128,0.115,0.136,0.136,0.137,0.135,0.087,0.062,0.268,0.269,0.277,0.073,0.082,0.083,0.134,0.248,0.693,0.732,0.740,0.789,0.786,0.786,0.508
Chile,0.217,0.222,0.227,0.229,0.233,0.123,0.102,0.267,0.281,0.305,0.301,0.405,0.445,0.466,0.034,0.043,0.049,0.623,0.802,0.820,0.827,0.846,0.846,0.770
Colombia,0.184,0.192,0.159,0.079,0.198,0.183,0.180,0.189,0.196,0.059,0.099,0.251,0.252,0.248,0.309,0.278,0.324,0.322,0.436,0.430,0.438,0.501,0.551,0.484
Costa Rica,,,,,0.231,0.245,0.244,0.244,0.243,0.499,0.634,0.635,0.648,0.655,0.719,0.775,0.797,0.840,0.847,0.848,0.849,0.865,0.861,0.853
Cuba,0.063,0.068,0.090,0.113,0.224,0.219,0.184,0.174,0.230,0.315,0.136,0.041,0.033,0.034,0.033,0.048,0.048,0.047,0.053,0.056,0.059,0.069,0.079,0.085
Dom. Rep,,,,,,,,,,0.031,0.031,0.030,0.087,0.084,0.085,0.292,0.301,0.247,0.229,0.351,0.340,0.335,0.292,0.347
Ecuador,0.034,0.063,0.102,0.196,0.171,0.114,0.130,0.129,0.075,0.191,0.184,0.186,0.060,0.091,0.065,0.452,0.415,0.479,0.460,0.461,0.463,0.307,0.274,0.492
El Salvador,,,,,0.080,0.079,0.083,0.045,0.044,0.060,0.067,0.066,0.070,0.066,0.055,0.041,0.076,0.090,0.283,0.320,0.345,0.426,0.473,0.370
Guatemala,,,,,0.050,0.073,0.074,0.053,0.051,0.228,0.060,0.077,0.054,0.080,0.080,0.066,0.064,0.211,0.250,0.380,0.397,0.410,0.447,0.394
Guyana,,,,,,,,,,0.191,0.158,0.218,0.209,0.218,0.204,0.186,0.179,0.222,0.307,0.346,0.386,0.381,0.455,0.398
Haiti,,,,,,,,,,0.053,0.106,0.030,0.029,0.029,0.034,0.034,0.035,0.072,0.235,0.265,0.088,0.270,0.239,0.226
Honduras,,,,,0.083,0.087,0.090,0.078,0.070,0.121,0.083,0.092,0.059,0.055,0.061,0.077,0.190,0.260,0.303,0.324,0.330,0.240,0.250,0.233
Jamaica,0.100,0.108,0.143,0.180,0.181,0.181,0.181,0.184,0.186,0.242,0.358,0.377,0.417,0.404,0.407,0.381,0.424,0.458,0.498,0.567,0.642,0.672,0.694,0.706
Mexico,0.109,0.061,0.061,0.059,0.063,0.104,0.087,0.091,0.091,0.096,0.108,0.106,0.105,0.111,0.112,0.132,0.145,0.195,0.281,0.435,0.508,0.462,0.419,0.412
Nicaragua,,,,,0.058,0.063,0.056,0.040,0.036,0.029,0.030,0.034,0.035,0.036,0.034,0.082,0.166,0.397,0.499,0.397,0.402,0.216,0.139,0.058
Panama,,,,,,,,,,0.184,0.206,0.214,0.189,0.074,0.082,0.084,0.079,0.279,0.541,0.561,0.561,0.568,0.556,0.557
Paraguay,,,,,,,,,,0.054,0.045,0.025,0.041,0.042,0.042,0.045,0.045,0.213,0.389,0.399,0.439,0.513,0.421,0.421
Peru,0.129,0.043,0.159,0.171,0.152,0.068,0.080,0.056,0.057,0.043,0.055,0.265,0.349,0.038,0.037,0.179,0.450,0.392,0.133,0.193,0.663,0.654,0.669,0.692
St. Kitts and Nevis,,,,,,,,,,0.207,0.366,0.466,0.477,0.618,0.624,0.636,0.634,0.636,0.655,0.661,0.658,0.676,0.669,0.683
