v2paenname,country_name,year,v2xpa_antiplural,v2xpa_popul,v2paseatshare,v2panumbseat,v2patotalseat,v2pavote,v2paallian,v2pavallian,v2panoallian,v2pagovsup,v2papariah,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Party of the Democratic Revolution,Mexico,1991,0.237,0.764,8.2,41,500,8.3,0,,,3,-0.826,2.02,0.811,-0.846,0.985,0.607,1.043,1.183,1.692,1.115,1.411,1.05,1.101,-1.531,1.19,0.473
Party of the Democratic Revolution,Mexico,1994,0.206,0.753,14.2,71,500,16.7,0,,,3,-0.794,1.878,0.811,-0.722,0.908,0.668,1.522,1.183,1.76,1.115,1.411,1.05,1.263,-1.531,1.19,0.473
Party of the Democratic Revolution,Mexico,1997,0.174,0.698,25,125,500,25.7,0,,,3,-0.283,1.371,0.74,-0.549,1.133,0.668,1.522,1.183,1.865,1.115,1.411,1.429,1.263,-1.531,1.19,1.031
Party of the Democratic Revolution,Mexico,2000,0.213,0.707,13,65,500,18.7,1,18.7,65,3,0.085,1.464,0.74,-0.448,0.902,0.668,1.284,1.322,2.122,1.115,1.411,2.364,1.494,-1.531,1.19,1.295
Party of the Democratic Revolution,Mexico,2003,0.266,0.704,19.4,97,500,18.2,0,,,3,-0.298,1.366,0.816,-0.651,0.66,0.462,1.335,1.322,1.96,0.71,1.411,2.217,1.494,-1.531,1.016,1.482
Party of the Democratic Revolution,Mexico,2006,0.374,0.829,25.2,126,500,,1,29.7,158,3,0.288,1.958,1.583,-1.237,0.52,0.168,0.844,1.253,2.268,0.71,1.411,1.969,1.706,-1.623,1.016,1.482
Party of the Democratic Revolution,Mexico,2009,0.26,0.803,14.2,71,500,12.9,0,,,3,-0.055,1.958,1.277,-0.731,0.77,0.467,1.205,1.365,2.431,0.756,1.411,1.969,1.706,-1.51,1.016,1.482
Party of the Democratic Revolution,Mexico,2012,0.275,0.815,20.8,104,500,19.4,0,,,3,0.404,1.818,1.59,-0.753,0.61,0.378,1.419,1.298,2.421,0.756,1.411,2.069,1.706,-1.456,1.016,1.482
Party of the Democratic Revolution,Mexico,2015,0.198,0.59,11.2,56,500,10.9,0,,,3,0.296,0.804,0.337,-0.253,0.904,0.86,1.228,1.57,2.625,0.799,1.411,2.206,1.706,-1.089,0.45,1.482
Party of the Democratic Revolution,Mexico,2018,0.218,0.552,4.2,21,500,5.3,0,,,3,0.296,0.579,0.205,-0.379,0.792,0.86,1.228,1.57,2.625,0.741,1.411,2.49,1.706,-0.99,0.45,1.482
Ecologist Green Party of Mexico,Mexico,2003,0.385,0.128,3.4,17,500,7.7,0,,,3,0.934,-1.73,-1.327,1.559,-0.492,0.806,0.656,-0.068,-0.011,0.116,0.711,0.68,-0.656,1.401,-1.314,0.978
Ecologist Green Party of Mexico,Mexico,2006,0.385,0.063,3.8,19,500,,1,28.9,119,3,0.483,-2.319,-1.285,1.559,-0.492,0.806,0.656,-0.068,-0.011,0.116,0.711,0.779,-0.48,1.401,-1.314,0.978
Ecologist Green Party of Mexico,Mexico,2009,0.409,0.063,4.2,21,500,7.1,0,,,3,0.749,-2.319,-1.285,1.559,-0.613,0.806,0.656,-0.068,-0.011,0.116,0.711,1.032,-0.369,1.401,-1.423,1.155
Ecologist Green Party of Mexico,Mexico,2012,0.417,0.061,5.8,29,500,6.4,0,,,1,0.749,-2.319,-1.511,1.559,-0.613,0.703,0.656,-0.068,-0.011,0.116,0.711,1.228,-0.176,1.401,-1.498,1.26
Ecologist Green Party of Mexico,Mexico,2015,0.417,0.061,9.4,47,500,6.9,0,,,1,0.749,-2.319,-1.511,1.559,-0.613,0.703,0.656,-0.068,-0.011,0.116,0.711,1.394,-0.176,1.401,-1.498,1.26
Ecologist Green Party of Mexico,Mexico,2018,0.408,0.062,3.2,16,500,4.8,0,,,3,0.951,-2.327,-1.134,1.375,-0.55,0.799,0.652,-0.108,0.087,0.116,0.719,1.767,-0.162,1.265,-1.474,1.273
National Action Party,Mexico,1949,,,2.7,4,147,5.6,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1952,,,3.1,5,161,7.8,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1955,,,3.7,6,161,9.2,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1958,,,3.7,6,162,10.2,0,,,,,,,,,,,,,,,,,,,
